Model,Notino,Technomarket,Zora,Technopolis,Emag
S8500,75.4,0.0,0.0,0.0,0.0
S6505,98.4,115.0,89.0,115.99,48.36
S9600,98.1,0.0,0.0,94.99,69.99
S8540,118.8,99.99,69.99,0.0,54.72
D3010,50.4,49.0,0.0,0.0,39.0
S3500,77.1,49.9,69.0,0.0,0.0
S5525,83.5,89.9,0.0,0.0,0.0
S8590,97.9,0.0,0.0,0.0,83.99
HC5035,51.9,52.99,52.9,44.9,35.9
FC500,84.6,0.0,0.0,0.0,0.0
S6606,156.9,139.0,139.9,139.99,97.9
AC9140,128.5,125.0,0.0,125.99,113.0
CI91X1,99.4,0.0,0.0,0.0,0.0
EP7500,133.3,0.0,0.0,0.0,0.0
CI96W1,66.5,89.0,0.0,84.99,62.9
PG6045,90.5,0.0,0.0,0.0,79.99
S5408,92.3,64.9,79.99,79.99,69.9
S9001,311.9,249.99,0.0,259.99,0.0
MB4110,84.5,115.99,0.0,0.0,0.0
F3000,91.9,70.0,0.0,0.0,0.0
F4000,113.9,0.0,0.0,0.0,0.0
F5000,160.0,0.0,0.0,0.0,0.0
D5000,48.2,0.0,0.0,0.0,29.99
D3015,58.9,52.9,52.9,52.99,39.9
S7300,102.9,0.0,0.0,0.0,0.0
BKT4000,67.9,0.0,0.0,0.0,0.0
S9500,92.7,0.0,0.0,0.0,69.9
MB6850,127.7,0.0,0.0,0.0,0.0
S9100,170.9,149.0,0.0,0.0,88.92
CI9132,113.1,0.0,104.9,0.0,0.0
CI5318,84.1,0.0,64.9,0.0,0.0
HC5100,56.4,34.99,32.0,0.0,0.0
EP7070,111.0,0.0,0.0,0.0,58.8
S7350,120.4,0.0,0.0,0.0,0.0
CI5408,66.9,49.99,59.99,59.99,0.0
HC7110,91.9,0.0,49.0,0.0,0.0
HC450,161.9,0.0,0.0,0.0,0.0
MB4000,69.2,0.0,0.0,0.0,0.0
PG2000,104.4,54.9,54.99,46.9,55.0
MB4050,135.2,0.0,0.0,0.0,0.0
MB5000,94.9,0.0,0.0,0.0,0.0
HC5018,43.3,35.9,39.0,26.9,0.0
HC7130,113.9,99.0,69.0,58.9,60.0
HC363C,125.3,0.0,0.0,0.0,55.0
MB4046,106.9,0.0,0.0,0.0,0.0
EC9001,314.1,0.0,0.0,0.0,0.0
EP7300,112.9,0.0,0.0,0.0,0.0
F0050,59.9,0.0,0.0,0.0,0.0
PG3000,83.3,59.99,59.9,50.9,0.0
PG4000,104.9,79.99,0.0,67.9,0.0
CI5538,82.9,0.0,0.0,59.99,0.0
CI6525,82.9,0.0,0.0,0.0,0.0
CI5519,85.4,0.0,0.0,0.0,0.0
EP7700,204.9,0.0,0.0,0.0,0.0
CI8605,0.0,79.9,0.0,0.0,0.0
CI9525,0.0,85.0,0.0,0.0,0.0
S9700,0.0,119.0,0.0,119.99,0.0
S9505,0.0,119.0,89.99,0.0,81.0
HC5200,0.0,64.0,0.0,0.0,0.0
S6500,0.0,99.0,0.0,0.0,51.99
MB050,0.0,99.9,0.0,0.0,0.0
S1450,0.0,34.99,0.0,0.0,0.0
HG1000,0.0,64.99,0.0,54.9,0.0
D3080,0.0,39.99,0.0,0.0,0.0
CI95,0.0,79.9,0.0,0.0,0.0
NE3150,0.0,21.0,0.0,16.9,19.9
HC5150,0.0,64.99,0.0,0.0,32.0
S1510,0.0,69.9,69.9,0.0,45.0
AS8901,0.0,119.0,0.0,0.0,178.0
S5505,0.0,95.0,94.9,0.0,62.0
AS800,0.0,37.99,0.0,0.0,0.0
S1A100,0.0,32.0,0.0,0.0,0.0
S3580,0.0,79.0,79.99,79.99,48.96
CI5901,0.0,59.99,0.0,59.99,0.0
D2121,0.0,27.0,0.0,0.0,0.0
D8700,0.0,109.0,0.0,0.0,0.0
PG5000,0.0,109.9,0.0,109.0,76.0
S6755,0.0,109.0,0.0,0.0,0.0
AC5999,0.0,99.9,0.0,115.9,0.0
S8901,0.0,119.99,0.0,0.0,84.9
S5901,0.0,79.99,0.0,79.99,0.0
CI89H1,0.0,84.99,0.0,0.0,0.0
D5901,0.0,71.99,0.0,71.99,0.0
AC8901,0.0,99.99,99.99,0.0,0.0
S8598,0.0,185.0,119.0,184.99,121.99
AC8820,0.0,89.9,99.0,0.0,106.99
S7970,0.0,99.9,0.0,99.9,0.0
AC5700,0.0,79.99,0.0,0.0,0.0
CI5700,0.0,69.99,0.0,0.0,0.0
NE3850,0.0,31.99,33.0,0.0,0.0
D3195GP,0.0,79.9,0.0,79.99,69.9
S5700,0.0,99.99,0.0,0.0,97.99
D6940GP,0.0,79.9,0.0,0.0,0.0
CI1A119,0.0,27.0,0.0,0.0,25.9
HC5038,0.0,52.99,0.0,0.0,0.0
S5506GP,0.0,99.0,79.9,0.0,0.0
MB4128,0.0,69.99,0.0,69.0,0.0
D5706,0.0,79.99,0.0,79.99,79.99
CI5319,0.0,63.0,0.0,0.0,0.0
D3012GP,0.0,64.99,0.0,0.0,0.0
PG6000,0.0,115.0,0.0,97.9,0.0
D5408,0.0,59.9,69.99,0.0,59.9
D5219,0.0,71.9,71.9,0.0,0.0
SP6000,0.0,109.0,0.0,0.0,0.0
D5755,0.0,64.9,0.0,0.0,0.0
HC6000,0.0,144.99,0.0,0.0,0.0
HC7170,0.0,149.0,0.0,0.0,0.0
