Model,Price
NE3150,19.9
CI1A119,25.9
AS404,27.96
S1005,29.0
D5000,29.99
HC5150,32.0
HC5035,35.9
D3010,39.0
D3015,39.9
D3190,39.99
D5210,44.46
S1510,45.0
FC250,46.62
S6505,48.36
S3580,48.96
D5215,49.0
S6500,51.99
S8540,54.72
PG2000,55.0
HC363C,55.0
EP7070,58.8
D5017,59.0
D5408,59.9
CI83V6,59.9
BHT2000A,59.9
D5220,59.9
HC7130,60.0
S7710,60.0
S5505,62.0
CI96W1,62.9
S8670,66.0
AS7051,67.2
S9500,69.9
D3195GP,69.9
S5408,69.9
CB7400,69.9
S9600,69.99
H5670,70.32
BHT250,71.6
CI9532,73.99
PG5000,76.0
AS1220,77.99
PG6030,78.65
PG6045,79.99
D5706,79.99
S9505,81.0
FC1000,83.52
S8590,83.99
S8901,84.9
H9100,85.8
S9100,88.92
CB7480,89.52
CI91AW,96.0
S6606,97.9
S5700,97.99
AC8820,106.99
S8605,111.72
H5600,111.78
AC9140,113.0
HC5810,119.0
S8598,121.99
AS8901,178.0
