Model, Price
S8500,75.4
S6505,98.4
S9600,98.1
S8540,118.8
D3010,50.4
S3500,77.1
S5525,83.5
S8590,97.9
HC5035,51.9
FC500,84.6
S6606,156.9
AC9140,128.5
CI91X1,99.4
EP7500,133.3
CI96W1,66.5
PG6045,90.5
S5408,92.3
S9001,311.9
MB4110,84.5
F3000,91.9
F4000,113.9
F5000,160
D5000,48.2
D3015,58.9
S7300,102.9
BKT4000,67.9
S9500,92.7
MB6850,127.7
S9100,170.9
CI9132,113.1
CI5318,84.1
HC5100,56.4
EP7070,111
S7350,120.4
CI5408,66.9
HC7110,91.9
HC450,161.9
MB4000,69.2
PG2000,104.4
MB4050,135.2
MB5000,94.9
HC5018,43.3
HC7130,113.9
HC363C,125.3
MB4046,106.9
EC9001,314.1
EP7300,112.9
F0050,59.9
PG3000,83.3
PG4000,104.9
CI5538,82.9
CI6525,82.9
CI5519,85.4
EP7700,204.9
