Model, Price
CI8605,79.90
S9100,149.0
F3000,70.0
CI9525,85.0
AC9140,125.0
S9700,119.0
S9505,119.0
S8540,99.99
HC5200,64.0
S6500,99.0
MB050,99.90
S1450,34.99
HG1000,64.99
MB4110,115.99
S6505,115.0
D3080,39.99
CI95,79.90
D3010,49.0
NE3150,21.0
HC5150,64.99
S5525,89.90
HC5018,35.90
S1510,69.90
AS8901,119.0
HC5100,34.99
S5505,95.0
S3500,49.90
AS800,37.99
S1A100,32.0
S3580,79.0
CI5901,59.99
D2121,27.0
D8700,109.0
PG5000,109.90
S6755,109.0
AC5999,99.90
S8901,119.99
S5901,79.99
CI89H1,84.99
D5901,71.99
AC8901,99.99
S8598,185.0
AC8820,89.90
S7970,99.90
AC5700,79.99
CI5700,69.99
PG3000,59.99
NE3850,31.99
PG4000,79.99
D3195GP,79.90
S5700,99.99
HC5035,52.99
D6940GP,79.90
CI1A119,27.0
HC5038,52.99
S5506GP,99.0
MB4128,69.99
D5706,79.99
CI5319,63.0
D3015,52.90
D3012GP,64.99
PG6000,115.0
CI96W1,89.0
PG2000,54.90
D5408,59.90
D5219,71.90
HC7130,99.0
S5408,64.90
S9001,249.99
CI5408,49.99
SP6000,109.0
D5755,64.90
HC6000,144.99
HC7170,149.0
HC5000,124.99
HC3000,89.99
S6606,139.0
